No.,demographic_prompt,other_prompt,target,persona
186,The female is a 62-year‑old none of the above without a university degree and has refused/ did not answer.,The female somewhat agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female and her family have not had COVID‑19. The female pays more attention to new vaccine information than a year ago.,1,"The individual expresses strong belief in the safety of COVID-19 vaccines and trust in government and science, while being somewhat uncertain about the comparative risks of the disease and vaccine."
187,The female is a 64-year‑old none of the above without a university degree and has below‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female is unsure whether COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female somewhat agrees the available vaccines are safe. The female strongly agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays more attention to new vaccine information than a year ago.,1,"The individual perceives COVID-19 as a significant threat and trusts the science behind vaccines, but remains uncertain about their preventive efficacy and the protection against long COVID."
188,The female is a 65-year‑old none of the above without a university degree and has below‑median income.,The female somewhat agrees COVID‑19 is a dangerous health threat. The female strongly disagrees that COVID‑19 can be prevented by vaccination. The female is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female is unsure whether their government can deliver vaccines equally to everyone. The female somewhat disagrees that the science behind COVID‑19 vaccines can be trusted. The female answers 'No' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays about the same attention to new vaccine information as a year ago.,1,"The individual exhibits skepticism towards COVID-19 vaccines, expressing doubts about their effectiveness and safety, while acknowledging the virus as a health threat."
189,The female is a 65-year‑old none of the above without a university degree and has below‑median income.,The female somewhat disagrees that COVID‑19 is a dangerous health threat. The female strongly disagrees that COVID‑19 can be prevented by vaccination. The female somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female somewhat agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 more than a year ago. The female pays less attention to new vaccine information than a year ago.,1,"The individual is uncertain about the effectiveness and safety of COVID-19 vaccines, views COVID-19 as a lesser threat, and demonstrates reduced engagement with vaccination information."
190,The female is a 68-year‑old none of the above without a university degree and has below‑median income.,The female strongly disagrees that COVID‑19 is a dangerous health threat. The female somewhat disagrees that COVID‑19 can be prevented by vaccination. The female somewhat disagrees that the risks of COVID‑19 disease are greater than the risks of the vaccine. The female is unsure whether the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female somewhat disagrees that the science behind COVID‑19 vaccines can be trusted. The female answers 'No' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays about the same attention to new vaccine information as a year ago.,1,"The individual appears hesitant about the safety and effectiveness of COVID-19 vaccines, expresses skepticism toward the perceived threat of the virus, and maintains a neutral stance on government vaccine distribution."
191,The female is a 70-year‑old none of the above without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female somewhat agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female strongly agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays about the same attention to new vaccine information as a year ago.,1,"The individual is a health-conscious senior who perceives COVID-19 as a serious threat, trusts the safety and efficacy of vaccines, and is somewhat confident in government vaccine distribution, despite uncertainty about long COVID protection."
192,The female is a 72-year‑old none of the above without a university degree and has below‑median income.,The female somewhat agrees COVID‑19 is a dangerous health threat. The female somewhat agrees COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female somewhat agrees the available vaccines are safe. The female is unsure whether their government can deliver vaccines equally to everyone. The female is unsure whether the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female and her family have not had COVID‑19. The female pays about the same attention to new vaccine information as a year ago.,1,"The individual shows a cautious but generally favorable attitude towards vaccination, recognizing COVID-19 as a significant health threat while expressing doubts about government delivery and scientific trust."
193,The female is a 72-year‑old none of the above without a university degree and has above‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female somewhat agrees COVID‑19 can be prevented by vaccination. The female is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The female somewhat agrees the available vaccines are safe. The female is unsure whether their government can deliver vaccines equally to everyone. The female somewhat disagrees that the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female and her family have not had COVID‑19. The female pays about the same attention to new vaccine information as a year ago.,1,"The woman appears to recognize COVID-19 as a significant threat and is tentatively supportive of vaccination, yet remains skeptical about the vaccine's risks and the trustworthiness of the science and government involved in vaccination efforts."
194,The female is a 73-year‑old none of the above without a university degree and has below‑median income.,The female somewhat agrees COVID‑19 is a dangerous health threat. The female strongly agrees COVID‑19 can be prevented by vaccination. The female somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female somewhat agrees the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female somewhat agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 within the past year. The female pays less attention to new vaccine information than a year ago.,1,"The individual exhibits a cautious yet positive view of COVID-19 vaccination, recognizing its preventive benefits while holding some reservations about safety and governmental equity in vaccine distribution."
195,The female is a 74-year‑old none of the above without a university degree and has below‑median income.,The female strongly agrees COVID‑19 is a dangerous health threat. The female somewhat disagrees that COVID‑19 can be prevented by vaccination. The female strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female strongly agrees the available vaccines are safe. The female somewhat agrees their government can deliver vaccines equally to everyone. The female somewhat agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Unsure' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 more than a year ago. The female pays about the same attention to new vaccine information as a year ago.,1,"The individual perceives COVID-19 as a significant threat and believes the risks of the disease outweigh those of the vaccine, yet remains skeptical about the effectiveness of vaccines in prevention and long COVID protection, indicating a cautious but generally supportive stance towards vaccination."
196,The female is a 75-year‑old none of the above without a university degree and has above‑median income.,The female somewhat disagrees that COVID‑19 is a dangerous health threat. The female somewhat disagrees that COVID‑19 can be prevented by vaccination. The female somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The female somewhat agrees the available vaccines are safe. The female is unsure whether their government can deliver vaccines equally to everyone. The female somewhat agrees the science behind COVID‑19 vaccines can be trusted. The female answers 'Yes' to whether the vaccine protects against long COVID. The female or a family member got sick with COVID‑19 more than a year ago. The female pays about the same attention to new vaccine information as a year ago.,1,The individual is skeptical about the seriousness of COVID-19 and its prevention through vaccination but believes in the safety of vaccines and acknowledges their protective benefits against long COVID.
197,The respondent is a 23-year‑old none of the above without a university degree and has refused/ did not answer.,The respondent strongly agrees COVID‑19 is a dangerous health threat. The respondent somewhat agrees COVID‑19 can be prevented by vaccination. The respondent strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The respondent strongly agrees the available vaccines are safe. The respondent somewhat agrees their government can deliver vaccines equally to everyone. The respondent strongly agrees the science behind COVID‑19 vaccines can be trusted. The respondent answers 'Unsure' to whether the vaccine protects against long COVID. The respondent or a family member got sick with COVID‑19 more than a year ago. The respondent pays about the same attention to new vaccine information as a year ago.,1,"The individual perceives COVID-19 as a serious threat and trusts the safety and efficacy of vaccines, indicating a willingness to support vaccination efforts, despite some uncertainty regarding long COVID protection."
198,The male is a 28-year‑old physician without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male somewhat disagrees that COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male somewhat disagrees that the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 more than a year ago. The male pays more attention to new vaccine information than a year ago.,2,"This individual perceives COVID-19 as a significant threat and trusts government vaccine distribution, yet harbors doubts about the preventability of the virus through vaccination and the trustworthiness of vaccine science, showing an evolving awareness of new vaccine information."
199,The male is a 22-year‑old nurses without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,2,"The individual is a 22-year-old male nurse who is highly confident in the safety and efficacy of COVID-19 vaccines, perceives COVID-19 as a significant threat, and actively seeks out new vaccine information."
200,The male is a 70-year‑old nurses without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly disagrees that COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly disagrees that the available vaccines are safe. The male strongly disagrees that their government can deliver vaccines equally to everyone. The male strongly disagrees that the science behind COVID‑19 vaccines can be trusted. The male answers 'No' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,2,"The individual views COVID-19 as a significant health threat but harbors deep skepticism about vaccine safety and efficacy, indicating a reluctance to vaccinate despite increased awareness of new vaccine information."
201,The male is a 20-year‑old community health worker without a university degree and has above‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male is unsure whether the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays less attention to new vaccine information than a year ago.,2,"The individual shows a cautious but somewhat positive attitude towards COVID-19 vaccination, expressing concerns about safety and trust in science, while acknowledging the vaccines' role in preventing disease and protecting against long COVID."
202,The male is a 59-year‑old community health worker without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,2,"The individual is a confident advocate for vaccination, strongly believing in its safety and effectiveness against COVID-19, and trusting in both government delivery and scientific research."
203,The male is a 59-year‑old other healthcare worker without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,2,"The individual is moderately convinced of the importance and safety of COVID-19 vaccination, perceives a significant health threat from the virus, and shows an increased awareness of vaccine information following recent personal experience with COVID-19."
204,The male is a 19-year‑old none of the above without a university degree and has above‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male is unsure whether the science behind COVID‑19 vaccines can be trusted. The male answers 'No' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays less attention to new vaccine information than a year ago.,2,"The individual is moderately concerned about COVID-19 as a health threat and believes in the vaccine's preventive capabilities, yet remains skeptical about the trustworthiness of vaccine science and is less attentive to new vaccine information, reflecting a cautious but uncertain vaccination persona."
205,The male is a 20-year‑old none of the above without a university degree and has refused/ did not answer.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly disagrees that their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays less attention to new vaccine information than a year ago.,2,The individual believes strongly in the safety and efficacy of COVID-19 vaccines but is skeptical about the government's equitable distribution and feels less informed about new vaccine information than before.
206,The male is a 20-year‑old none of the above without a university degree and has refused/ did not answer.,The male strongly agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The male is unsure whether the available vaccines are safe. The male is unsure whether their government can deliver vaccines equally to everyone. The male is unsure whether the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays about the same attention to new vaccine information as a year ago.,2,"The individual exhibits a cautious vaccination persona, recognizing COVID-19 as a significant health threat but expressing uncertainty regarding vaccine safety, effectiveness, and equitable access."
207,The male is a 21-year‑old none of the above without a university degree and has above‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays about the same attention to new vaccine information as a year ago.,2,This 21-year-old man recognizes COVID-19 as a significant health threat and trusts the safety and efficacy of vaccines but maintains a cautious and moderately engaged stance towards vaccination information.
208,The male is a 22-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,2,The individual is a cautious and informed young male who strongly believes in the effectiveness and safety of COVID-19 vaccines and trusts the government's ability to provide equitable access to vaccination.
209,The male is a 35-year‑old none of the above without a university degree and has below‑median income.,The male is unsure whether COVID‑19 is a dangerous health threat. The male somewhat disagrees that COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male is unsure whether the available vaccines are safe. The male strongly disagrees that their government can deliver vaccines equally to everyone. The male is unsure whether the science behind COVID‑19 vaccines can be trusted. The male answers 'No' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays less attention to new vaccine information than a year ago.,2,"This individual demonstrates ambivalence towards COVID-19 vaccination, expressing uncertainty about its safety and effectiveness while also perceiving greater risks from the disease compared to the vaccine."
210,The male is a 35-year‑old none of the above without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays more attention to new vaccine information than a year ago.,2,The individual is a safety-conscious male who strongly believes in the effectiveness and safety of COVID-19 vaccines and trusts government and scientific authority in vaccine delivery and information.
211,The male is a 36-year‑old none of the above without a university degree and has above‑median income.,The male strongly disagrees that COVID‑19 is a dangerous health threat. The male strongly disagrees that COVID‑19 can be prevented by vaccination. The male strongly disagrees that the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly disagrees that the available vaccines are safe. The male strongly disagrees that their government can deliver vaccines equally to everyone. The male strongly disagrees that the science behind COVID‑19 vaccines can be trusted. The male answers 'No' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays less attention to new vaccine information than a year ago.,2,"The individual exhibits a strong skepticism towards the COVID-19 vaccination, perceiving it as ineffective and unsafe while lacking trust in both governmental and scientific authorities."
212,The male is a 37-year‑old none of the above without a university degree and has refused/ did not answer.,The male strongly agrees COVID‑19 is a dangerous health threat. The male somewhat disagrees that COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly disagrees that their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'No' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays about the same attention to new vaccine information as a year ago.,2,The individual is likely concerned about the dangers of COVID-19 and trusts the science behind vaccines but is skeptical about vaccination's effectiveness in preventing the disease and the government's equitable distribution of vaccines.
213,The male is a 44-year‑old none of the above without a university degree and has below‑median income.,The male strongly disagrees that COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly disagrees that the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male is unsure whether their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays less attention to new vaccine information than a year ago.,2,The individual believes in the effectiveness and safety of COVID-19 vaccines but is skeptical about government equity in vaccine distribution and shows a declining interest in vaccine information.
214,The male is a 47-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 more than a year ago. The male pays more attention to new vaccine information than a year ago.,2,"The individual perceives COVID-19 as a significant threat and strongly supports vaccination as a safe and effective means of prevention, while showing a preference for updated information on vaccines."
215,The male is a 47-year‑old none of the above without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays about the same attention to new vaccine information as a year ago.,2,"The individual is a risk-aware male who firmly believes in the safety and effectiveness of COVID-19 vaccinations, trusts government distribution efforts, and acknowledges the seriousness of the virus, while remaining uncertain about long COVID protection from the vaccine."
216,The male is a 50-year‑old none of the above without a university degree and has above‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays about the same attention to new vaccine information as a year ago.,2,The individual is a cautious yet trusting voter who recognizes the threats posed by COVID-19 and believes in the importance of vaccination while remaining somewhat uncertain about the dynamics of long COVID protection.
217,The male is a 51-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 more than a year ago. The male pays more attention to new vaccine information than a year ago.,2,"This individual is a safety-conscious and informed male who strongly believes in the effectiveness and safety of COVID-19 vaccines, trusts the government's vaccination efforts, and is attentive to evolving vaccine information."
218,The male is a 51-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male somewhat agrees COVID‑19 can be prevented by vaccination. The male is unsure whether the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 more than a year ago. The male pays about the same attention to new vaccine information as a year ago.,2,"The individual perceives COVID-19 as a serious threat and believes in the safety of vaccines, showing a balanced skepticism towards vaccine efficacy, while trusting in government distribution efforts."
219,The male is a 51-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays about the same attention to new vaccine information as a year ago.,2,The individual is a cautious yet trusting vaccine advocate who believes in the effectiveness and safety of COVID-19 vaccines but remains uncertain about their protection against long COVID.
220,The male is a 52-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly disagrees that COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male somewhat agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays about the same attention to new vaccine information as a year ago.,2,"The individual perceives COVID-19 as a serious threat and acknowledges the potential dangers of the disease relative to vaccination, while exhibiting mixed trust in vaccine safety and science, yet believes in equitable vaccine delivery by the government."
221,The male is a 52-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays more attention to new vaccine information than a year ago.,2,"The individual is a cautious yet confident pro-vaccination advocate who trusts vaccine safety and efficacy, believes in equitable access, and pays heightened attention to vaccine information."
222,The male is a 52-year‑old none of the above without a university degree and has above‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male is unsure whether COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male is unsure whether the available vaccines are safe. The male somewhat disagrees that their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Yes' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 more than a year ago. The male pays more attention to new vaccine information than a year ago.,2,"The individual is moderately concerned about COVID-19 as a health threat and generally trusts vaccine science, yet remains uncertain about vaccine safety and equitable distribution, while acknowledging the vaccine's protective benefits against long COVID."
223,The male is a 52-year‑old none of the above without a university degree and has below‑median income.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays about the same attention to new vaccine information as a year ago.,2,"This individual strongly perceives COVID-19 as a significant health threat and trusts the safety and efficacy of vaccines, suggesting a proactive stance towards vaccination despite uncertainty regarding long COVID protection."
224,The male is a 53-year‑old none of the above without a university degree and has below‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays less attention to new vaccine information than a year ago.,2,"The individual is a cautious yet trusting supporter of COVID-19 vaccination, acknowledging its importance and safety while expressing some uncertainty about its protection against long COVID."
225,The male is a 55-year‑old none of the above without a university degree and has refused/ did not answer.,The male strongly agrees COVID‑19 is a dangerous health threat. The male strongly agrees COVID‑19 can be prevented by vaccination. The male strongly agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male strongly agrees their government can deliver vaccines equally to everyone. The male strongly agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male and his family have not had COVID‑19. The male pays more attention to new vaccine information than a year ago.,2,"This individual perceives COVID-19 as a serious threat and believes in the safety and efficacy of vaccines, showing a cautious but informed approach to vaccination, despite some uncertainty regarding long COVID."
226,The male is a 56-year‑old none of the above without a university degree and has below‑median income.,The male somewhat agrees COVID‑19 is a dangerous health threat. The male somewhat disagrees that COVID‑19 can be prevented by vaccination. The male somewhat agrees the risks of COVID‑19 disease are greater than the risks of the vaccine. The male strongly agrees the available vaccines are safe. The male somewhat agrees their government can deliver vaccines equally to everyone. The male somewhat agrees the science behind COVID‑19 vaccines can be trusted. The male answers 'Unsure' to whether the vaccine protects against long COVID. The male or a family member got sick with COVID‑19 within the past year. The male pays about the same attention to new vaccine information as a year ago.,2,"This individual shows cautious support for COVID-19 vaccination, believing in its safety and the reliability of the government and scientific community, while expressing uncertainty about its preventative effectiveness against long COVID."
